| Agent    0 | Location(x,y) = (  41,  67) in Environment -   DerivENV | High-Level-State 0
| Agent   24 | Location(x,y) = ( 290,  29) in Environment -   DerivENV | High-Level-State 0
| Agent   25 | Location(x,y) = ( 150,   6) in Environment -   DerivENV | High-Level-State 0
| Agent   26 | Location(x,y) = ( 393,  48) in Environment -   DerivENV | High-Level-State 0
| Agent   27 | Location(x,y) = ( 223,  84) in Environment -   DerivENV | High-Level-State 0
| Agent   28 | Location(x,y) = ( 356,  40) in Environment -   DerivENV | High-Level-State 0
| Agent   29 | Location(x,y) = ( 176,  31) in Environment -   DerivENV | High-Level-State 0
| Agent   30 | Location(x,y) = ( 144,  39) in Environment -   DerivENV | High-Level-State 0
| Agent   31 | Location(x,y) = ( 123,  37) in Environment -   DerivENV | High-Level-State 0
| Agent   32 | Location(x,y) = ( 118,  82) in Environment -   DerivENV | High-Level-State 0
| Agent   33 | Location(x,y) = ( 141,  33) in Environment -   DerivENV | High-Level-State 0
| Agent   34 | Location(x,y) = ( 239,  58) in Environment -   DerivENV | High-Level-State 0
| Agent   35 | Location(x,y) = ( 330,  77) in Environment -   DerivENV | High-Level-State 0
| Agent   36 | Location(x,y) = (  73,  86) in Environment -   DerivENV | High-Level-State 0
| Agent   37 | Location(x,y) = ( 345,  24) in Environment -   DerivENV | High-Level-State 0
| Agent   38 | Location(x,y) = ( 270,  29) in Environment -   DerivENV | High-Level-State 0
| Agent   39 | Location(x,y) = ( 373,  97) in Environment -   DerivENV | High-Level-State 0
| Agent   40 | Location(x,y) = ( 386,  90) in Environment -   DerivENV | High-Level-State 0
| Agent   41 | Location(x,y) = ( 236,  55) in Environment -   DerivENV | High-Level-State 0
| Agent   42 | Location(x,y) = (  55,  74) in Environment -   DerivENV | High-Level-State 0
| Agent   43 | Location(x,y) = (  52,  50) in Environment -   DerivENV | High-Level-State 0
| Agent   44 | Location(x,y) = ( 141,  24) in Environment -   DerivENV | High-Level-State 0
| Agent   45 | Location(x,y) = ( 230,   7) in Environment -   DerivENV | High-Level-State 0
| Agent   46 | Location(x,y) = (   7,  37) in Environment -   DerivENV | High-Level-State 0
| Agent   47 | Location(x,y) = ( 287,  53) in Environment -   DerivENV | High-Level-State 0
| Agent   48 | Location(x,y) = ( 145,   9) in Environment -   DerivENV | High-Level-State 0
| Agent   49 | Location(x,y) = ( 158,  21) in Environment -   DerivENV | High-Level-State 0
| Agent   50 | Location(x,y) = (  22,  46) in Environment -   DerivENV | High-Level-State 0
| Agent   51 | Location(x,y) = ( 230,  13) in Environment -   DerivENV | High-Level-State 0
| Agent   52 | Location(x,y) = ( 100,  91) in Environment -   DerivENV | High-Level-State 0
| Agent   53 | Location(x,y) = (  55,  10) in Environment -   DerivENV | High-Level-State 0
| Agent   54 | Location(x,y) = (  24,  37) in Environment -   DerivENV | High-Level-State 0
| Agent   55 | Location(x,y) = (  83,  95) in Environment -   DerivENV | High-Level-State 0
| Agent   56 | Location(x,y) = (   2,  50) in Environment -   DerivENV | High-Level-State 0
| Agent   57 | Location(x,y) = (  36,  74) in Environment -   DerivENV | High-Level-State 0
| Agent   58 | Location(x,y) = ( 196,  21) in Environment -   DerivENV | High-Level-State 0
| Agent   59 | Location(x,y) = ( 399,  68) in Environment -   DerivENV | High-Level-State 0
| Agent   60 | Location(x,y) = ( 281,  34) in Environment -   DerivENV | High-Level-State 0
| Agent   61 | Location(x,y) = ( 399,  18) in Environment -   DerivENV | High-Level-State 0
| Agent   62 | Location(x,y) = ( 100,  88) in Environment -   DerivENV | High-Level-State 0
| Agent   63 | Location(x,y) = (  67,  28) in Environment -   DerivENV | High-Level-State 0
| Agent   64 | Location(x,y) = ( 248,  83) in Environment -   DerivENV | High-Level-State 0
| Agent   65 | Location(x,y) = (  21,  10) in Environment -   DerivENV | High-Level-State 0
| Agent   66 | Location(x,y) = (  13,  14) in Environment -   DerivENV | High-Level-State 0
| Agent   67 | Location(x,y) = (  16,  35) in Environment -   DerivENV | High-Level-State 0
| Agent   68 | Location(x,y) = ( 200,  49) in Environment -   DerivENV | High-Level-State 0
| Agent   69 | Location(x,y) = ( 356,  98) in Environment -   DerivENV | High-Level-State 0
| Agent   70 | Location(x,y) = ( 224,   8) in Environment -   DerivENV | High-Level-State 0
| Agent   71 | Location(x,y) = ( 209,  89) in Environment -   DerivENV | High-Level-State 0
| Agent   72 | Location(x,y) = ( 395,  85) in Environment -   DerivENV | High-Level-State 0
| Agent   73 | Location(x,y) = ( 343,  23) in Environment -   DerivENV | High-Level-State 0
| Agent   74 | Location(x,y) = ( 114,   3) in Environment -   DerivENV | High-Level-State 0
| Agent   75 | Location(x,y) = (   0,  58) in Environment -   DerivENV | High-Level-State 0
| Agent   76 | Location(x,y) = ( 180,  96) in Environment -   DerivENV | High-Level-State 0
| Agent   77 | Location(x,y) = (  81,  89) in Environment -   DerivENV | High-Level-State 0
| Agent   78 | Location(x,y) = (   9,  57) in Environment -   DerivENV | High-Level-State 0
| Agent   79 | Location(x,y) = (  22,  38) in Environment -   DerivENV | High-Level-State 0
| Agent   80 | Location(x,y) = (  38,  79) in Environment -   DerivENV | High-Level-State 0
| Agent   81 | Location(x,y) = (  57,  58) in Environment -   DerivENV | High-Level-State 0
| Agent   82 | Location(x,y) = ( 215,  88) in Environment -   DerivENV | High-Level-State 0
| Agent   83 | Location(x,y) = ( 311,   2) in Environment -   DerivENV | High-Level-State 0
| Agent   84 | Location(x,y) = ( 272,  55) in Environment -   DerivENV | High-Level-State 0
| Agent   85 | Location(x,y) = ( 246,  62) in Environment -   DerivENV | High-Level-State 0
| Agent   86 | Location(x,y) = (  75,  33) in Environment -   DerivENV | High-Level-State 0
| Agent   87 | Location(x,y) = ( 142,  44) in Environment -   DerivENV | High-Level-State 0
| Agent   88 | Location(x,y) = ( 281,  98) in Environment -   DerivENV | High-Level-State 0
| Agent   89 | Location(x,y) = ( 251,  21) in Environment -   DerivENV | High-Level-State 0
| Agent   90 | Location(x,y) = ( 357,  76) in Environment -   DerivENV | High-Level-State 0
| Agent   91 | Location(x,y) = ( 389,  75) in Environment -   DerivENV | High-Level-State 0
| Agent   92 | Location(x,y) = ( 200,  10) in Environment -   DerivENV | High-Level-State 0
| Agent   93 | Location(x,y) = (  69,  61) in Environment -   DerivENV | High-Level-State 0
| Agent   94 | Location(x,y) = ( 201,  89) in Environment -   DerivENV | High-Level-State 0
| Agent   95 | Location(x,y) = (  23,   2) in Environment -   DerivENV | High-Level-State 0
| Agent   96 | Location(x,y) = ( 182,  85) in Environment -   DerivENV | High-Level-State 0
| Agent   97 | Location(x,y) = ( 226,  17) in Environment -   DerivENV | High-Level-State 0
| Agent   98 | Location(x,y) = ( 232,  32) in Environment -   DerivENV | High-Level-State 0
| Agent   99 | Location(x,y) = ( 154,  21) in Environment -   DerivENV | High-Level-State 0
| Agent  100 | Location(x,y) = ( 376,  29) in Environment -   DerivENV | High-Level-State 1
| Agent  101 | Location(x,y) = ( 292,  25) in Environment -   DerivENV | High-Level-State 1
| Agent  102 | Location(x,y) = ( 234,  49) in Environment -   DerivENV | High-Level-State 1
| Agent  103 | Location(x,y) = ( 312,  45) in Environment -   DerivENV | High-Level-State 1
| Agent  104 | Location(x,y) = ( 118,  53) in Environment -   DerivENV | High-Level-State 1
| Agent  105 | Location(x,y) = (  23,  79) in Environment -   DerivENV | High-Level-State 1
| Agent  106 | Location(x,y) = ( 287,  29) in Environment -   DerivENV | High-Level-State 1
| Agent  107 | Location(x,y) = ( 237,  66) in Environment -   DerivENV | High-Level-State 1
| Agent  108 | Location(x,y) = ( 193,  95) in Environment -   DerivENV | High-Level-State 1
| Agent  109 | Location(x,y) = (  16,  86) in Environment -   DerivENV | High-Level-State 1
| Agent  110 | Location(x,y) = (  88,  82) in Environment -   DerivENV | High-Level-State 1
| Agent  111 | Location(x,y) = ( 134,  14) in Environment -   DerivENV | High-Level-State 1
| Agent  112 | Location(x,y) = ( 116,  71) in Environment -   DerivENV | High-Level-State 1
| Agent  113 | Location(x,y) = ( 263,  13) in Environment -   DerivENV | High-Level-State 1
| Agent  114 | Location(x,y) = ( 385,  53) in Environment -   DerivENV | High-Level-State 1
| Agent  115 | Location(x,y) = (   8,  32) in Environment -   DerivENV | High-Level-State 1
| Agent  116 | Location(x,y) = ( 313,  56) in Environment -   DerivENV | High-Level-State 1
| Agent  117 | Location(x,y) = ( 358,  46) in Environment -   DerivENV | High-Level-State 1
| Agent  118 | Location(x,y) = (  81,  44) in Environment -   DerivENV | High-Level-State 1
| Agent  119 | Location(x,y) = ( 222,  29) in Environment -   DerivENV | High-Level-State 1
| Agent  120 | Location(x,y) = ( 335,  50) in Environment -   DerivENV | High-Level-State 1
| Agent  121 | Location(x,y) = (  66,  44) in Environment -   DerivENV | High-Level-State 1
| Agent  122 | Location(x,y) = ( 292,  39) in Environment -   DerivENV | High-Level-State 1
| Agent  123 | Location(x,y) = (  24,  54) in Environment -   DerivENV | High-Level-State 1
| Agent  124 | Location(x,y) = ( 345,  49) in Environment -   DerivENV | High-Level-State 1
| Agent  125 | Location(x,y) = ( 313,  74) in Environment -   DerivENV | High-Level-State 1
| Agent  126 | Location(x,y) = ( 168,  18) in Environment -   DerivENV | High-Level-State 1
| Agent  127 | Location(x,y) = ( 305,  58) in Environment -   DerivENV | High-Level-State 1
| Agent  128 | Location(x,y) = ( 202,  25) in Environment -   DerivENV | High-Level-State 1
| Agent  129 | Location(x,y) = (  14,  14) in Environment -   DerivENV | High-Level-State 1
| Agent  130 | Location(x,y) = ( 134,  74) in Environment -   DerivENV | High-Level-State 1
| Agent  131 | Location(x,y) = ( 159,  33) in Environment -   DerivENV | High-Level-State 1
| Agent  132 | Location(x,y) = ( 287,  97) in Environment -   DerivENV | High-Level-State 1
| Agent  133 | Location(x,y) = ( 177,  73) in Environment -   DerivENV | High-Level-State 1
| Agent  134 | Location(x,y) = ( 163,  68) in Environment -   DerivENV | High-Level-State 1
| Agent  135 | Location(x,y) = ( 385,   2) in Environment -   DerivENV | High-Level-State 1
| Agent  136 | Location(x,y) = (  13,  27) in Environment -   DerivENV | High-Level-State 1
| Agent  137 | Location(x,y) = (  99,  27) in Environment -   DerivENV | High-Level-State 1
| Agent  138 | Location(x,y) = ( 343,  24) in Environment -   DerivENV | High-Level-State 1
| Agent  139 | Location(x,y) = ( 372,  61) in Environment -   DerivENV | High-Level-State 1
| Agent  140 | Location(x,y) = ( 203,  32) in Environment -   DerivENV | High-Level-State 1
| Agent  141 | Location(x,y) = ( 393,  25) in Environment -   DerivENV | High-Level-State 1
| Agent  142 | Location(x,y) = (  92,  42) in Environment -   DerivENV | High-Level-State 1
| Agent  143 | Location(x,y) = (  86,  64) in Environment -   DerivENV | High-Level-State 1
| Agent  144 | Location(x,y) = ( 387,  60) in Environment -   DerivENV | High-Level-State 1
| Agent  145 | Location(x,y) = ( 174,  70) in Environment -   DerivENV | High-Level-State 1
| Agent  146 | Location(x,y) = ( 235,  33) in Environment -   DerivENV | High-Level-State 1
| Agent  147 | Location(x,y) = ( 160,  96) in Environment -   DerivENV | High-Level-State 1
| Agent  148 | Location(x,y) = (  85,  50) in Environment -   DerivENV | High-Level-State 1
| Agent  149 | Location(x,y) = (  94,  95) in Environment -   DerivENV | High-Level-State 1
	Tally: { S = 100 , I = 50 , R = 0 | Time 0

| Agent  149 | Location (x,y) = ( 166,  45) in Environment -   DerivENV | High-Level-State 1
| Agent  148 | Location (x,y) = ( 108,  35) in Environment -   DerivENV | High-Level-State 1
| Agent  147 | Location (x,y) = ( 316,  12) in Environment -   DerivENV | High-Level-State 1
| Agent  146 | Location (x,y) = ( 261,  90) in Environment -   DerivENV | High-Level-State 1
| Agent  145 | Location (x,y) = ( 300,  27) in Environment -   DerivENV | High-Level-State 1
| Agent  144 | Location (x,y) = ( 124,  31) in Environment -   DerivENV | High-Level-State 1
| Agent  143 | Location (x,y) = ( 355,  25) in Environment -   DerivENV | High-Level-State 1
| Agent  142 | Location (x,y) = ( 188,  64) in Environment -   DerivENV | High-Level-State 1
| Agent  141 | Location (x,y) = (  10,  37) in Environment -   DerivENV | High-Level-State 1
| Agent  140 | Location (x,y) = ( 120,  28) in Environment -   DerivENV | High-Level-State 1
| Agent  139 | Location (x,y) = ( 357,   2) in Environment -   DerivENV | High-Level-State 1
| Agent  138 | Location (x,y) = ( 366,  53) in Environment -   DerivENV | High-Level-State 1
| Agent  137 | Location (x,y) = ( 328,  92) in Environment -   DerivENV | High-Level-State 1
| Agent  136 | Location (x,y) = ( 172,  59) in Environment -   DerivENV | High-Level-State 1
| Agent  135 | Location (x,y) = ( 281,  57) in Environment -   DerivENV | High-Level-State 1
| Agent  134 | Location (x,y) = ( 216,  30) in Environment -   DerivENV | High-Level-State 1
| Agent  133 | Location (x,y) = ( 161,   7) in Environment -   DerivENV | High-Level-State 1
| Agent  132 | Location (x,y) = ( 141,  69) in Environment -   DerivENV | High-Level-State 1
| Agent  131 | Location (x,y) = (  16,   2) in Environment -   DerivENV | High-Level-State 1
| Agent  130 | Location (x,y) = ( 266,  37) in Environment -   DerivENV | High-Level-State 1
| Agent  129 | Location (x,y) = ( 221,  97) in Environment -   DerivENV | High-Level-State 1
| Agent  128 | Location (x,y) = ( 313,  60) in Environment -   DerivENV | High-Level-State 1
| Agent  127 | Location (x,y) = ( 372,   6) in Environment -   DerivENV | High-Level-State 1
| Agent  126 | Location (x,y) = (  43,  56) in Environment -   DerivENV | High-Level-State 1
| Agent  125 | Location (x,y) = ( 136,  16) in Environment -   DerivENV | High-Level-State 1
| Agent  124 | Location (x,y) = (  99,  60) in Environment -   DerivENV | High-Level-State 1
| Agent  123 | Location (x,y) = ( 365,  29) in Environment -   DerivENV | High-Level-State 1
| Agent  122 | Location (x,y) = ( 151,  64) in Environment -   DerivENV | High-Level-State 1
| Agent  121 | Location (x,y) = (  87,  14) in Environment -   DerivENV | High-Level-State 1
| Agent  120 | Location (x,y) = ( 361,  84) in Environment -   DerivENV | High-Level-State 1
| Agent  119 | Location (x,y) = ( 227,  12) in Environment -   DerivENV | High-Level-State 1
| Agent  118 | Location (x,y) = ( 331,  42) in Environment -   DerivENV | High-Level-State 1
| Agent  117 | Location (x,y) = ( 237,  47) in Environment -   DerivENV | High-Level-State 1
| Agent  116 | Location (x,y) = ( 106,  90) in Environment -   DerivENV | High-Level-State 1
| Agent  115 | Location (x,y) = (  45,  66) in Environment -   DerivENV | High-Level-State 1
| Agent  114 | Location (x,y) = ( 341,  46) in Environment -   DerivENV | High-Level-State 1
| Agent  113 | Location (x,y) = (  39,  18) in Environment -   DerivENV | High-Level-State 1
| Agent  112 | Location (x,y) = ( 278,  19) in Environment -   DerivENV | High-Level-State 1
| Agent  111 | Location (x,y) = (  15,  14) in Environment -   DerivENV | High-Level-State 1
| Agent  110 | Location (x,y) = ( 101,  23) in Environment -   DerivENV | High-Level-State 1
| Agent  109 | Location (x,y) = ( 271,  41) in Environment -   DerivENV | High-Level-State 1
| Agent  108 | Location (x,y) = ( 135,  57) in Environment -   DerivENV | High-Level-State 1
| Agent  107 | Location (x,y) = ( 248,  43) in Environment -   DerivENV | High-Level-State 1
| Agent  106 | Location (x,y) = ( 311,   7) in Environment -   DerivENV | High-Level-State 1
| Agent  105 | Location (x,y) = ( 175,  22) in Environment -   DerivENV | High-Level-State 1
| Agent  104 | Location (x,y) = (  14,  26) in Environment -   DerivENV | High-Level-State 1
| Agent  103 | Location (x,y) = ( 352,  58) in Environment -   DerivENV | High-Level-State 1
| Agent  102 | Location (x,y) = ( 309,  21) in Environment -   DerivENV | High-Level-State 1
| Agent  101 | Location (x,y) = ( 310,  35) in Environment -   DerivENV | High-Level-State 1
| Agent  100 | Location (x,y) = ( 193,  61) in Environment -   DerivENV | High-Level-State 1
| Agent   99 | Location (x,y) = ( 266,  16) in Environment -   DerivENV | High-Level-State 0
| Agent   98 | Location (x,y) = ( 201,  63) in Environment -   DerivENV | High-Level-State 0
| Agent   97 | Location (x,y) = ( 266,   5) in Environment -   DerivENV | High-Level-State 0
| Agent   96 | Location (x,y) = (  67,  75) in Environment -   DerivENV | High-Level-State 0
| Agent   95 | Location (x,y) = ( 320,  91) in Environment -   DerivENV | High-Level-State 0
| Agent   94 | Location (x,y) = ( 191,  34) in Environment -   DerivENV | High-Level-State 0
| Agent   93 | Location (x,y) = ( 222,  75) in Environment -   DerivENV | High-Level-State 0
| Agent   92 | Location (x,y) = (  51,  50) in Environment -   DerivENV | High-Level-State 0
| Agent   91 | Location (x,y) = (  33,  33) in Environment -   DerivENV | High-Level-State 0
| Agent   90 | Location (x,y) = ( 292,  35) in Environment -   DerivENV | High-Level-State 0
| Agent   89 | Location (x,y) = ( 243,  26) in Environment -   DerivENV | High-Level-State 0
| Agent   88 | Location (x,y) = ( 345,  79) in Environment -   DerivENV | High-Level-State 0
| Agent   87 | Location (x,y) = ( 245,  73) in Environment -   DerivENV | High-Level-State 0
| Agent   86 | Location (x,y) = ( 250,  41) in Environment -   DerivENV | High-Level-State 0
| Agent   85 | Location (x,y) = ( 338,  59) in Environment -   DerivENV | High-Level-State 0
| Agent   84 | Location (x,y) = ( 221,  11) in Environment -   DerivENV | High-Level-State 0
| Agent   83 | Location (x,y) = ( 272,  29) in Environment -   DerivENV | High-Level-State 0
| Agent   82 | Location (x,y) = ( 282,  29) in Environment -   DerivENV | High-Level-State 0
| Agent   81 | Location (x,y) = ( 186,  98) in Environment -   DerivENV | High-Level-State 0
| Agent   80 | Location (x,y) = ( 251,  53) in Environment -   DerivENV | High-Level-State 0
| Agent   79 | Location (x,y) = ( 223,  15) in Environment -   DerivENV | High-Level-State 0
| Agent   78 | Location (x,y) = ( 224,  40) in Environment -   DerivENV | High-Level-State 0
| Agent   77 | Location (x,y) = ( 294,  81) in Environment -   DerivENV | High-Level-State 0
| Agent   76 | Location (x,y) = (   4,  97) in Environment -   DerivENV | High-Level-State 0
| Agent   75 | Location (x,y) = ( 192,  17) in Environment -   DerivENV | High-Level-State 0
| Agent   74 | Location (x,y) = ( 384,  31) in Environment -   DerivENV | High-Level-State 0
| Agent   73 | Location (x,y) = ( 370,   7) in Environment -   DerivENV | High-Level-State 0
| Agent   72 | Location (x,y) = (  70,  71) in Environment -   DerivENV | High-Level-State 0
| Agent   71 | Location (x,y) = ( 107,  59) in Environment -   DerivENV | High-Level-State 0
| Agent   70 | Location (x,y) = ( 111,  55) in Environment -   DerivENV | High-Level-State 0
| Agent   69 | Location (x,y) = ( 160,   1) in Environment -   DerivENV | High-Level-State 0
| Agent   68 | Location (x,y) = ( 221,  12) in Environment -   DerivENV | High-Level-State 0
| Agent   67 | Location (x,y) = ( 122,  98) in Environment -   DerivENV | High-Level-State 0
| Agent   66 | Location (x,y) = ( 223,  85) in Environment -   DerivENV | High-Level-State 0
| Agent   65 | Location (x,y) = ( 310,  50) in Environment -   DerivENV | High-Level-State 0
| Agent   64 | Location (x,y) = (  12,  25) in Environment -   DerivENV | High-Level-State 0
| Agent   63 | Location (x,y) = (  86,  41) in Environment -   DerivENV | High-Level-State 0
| Agent   62 | Location (x,y) = (  91,  92) in Environment -   DerivENV | High-Level-State 0
| Agent   61 | Location (x,y) = ( 217,  50) in Environment -   DerivENV | High-Level-State 0
| Agent   60 | Location (x,y) = ( 231,  39) in Environment -   DerivENV | High-Level-State 0
| Agent   59 | Location (x,y) = ( 174,   7) in Environment -   DerivENV | High-Level-State 0
| Agent   58 | Location (x,y) = (  99,  43) in Environment -   DerivENV | High-Level-State 0
| Agent   57 | Location (x,y) = ( 334,  21) in Environment -   DerivENV | High-Level-State 0
| Agent   56 | Location (x,y) = ( 386,  98) in Environment -   DerivENV | High-Level-State 0
| Agent   55 | Location (x,y) = ( 254,  59) in Environment -   DerivENV | High-Level-State 0
| Agent   54 | Location (x,y) = ( 137,  12) in Environment -   DerivENV | High-Level-State 0
| Agent   53 | Location (x,y) = (   0,  22) in Environment -   DerivENV | High-Level-State 0
| Agent   52 | Location (x,y) = (  46,  69) in Environment -   DerivENV | High-Level-State 0
| Agent   51 | Location (x,y) = ( 399,  75) in Environment -   DerivENV | High-Level-State 0
| Agent   50 | Location (x,y) = ( 141,  31) in Environment -   DerivENV | High-Level-State 0
| Agent   49 | Location (x,y) = (  47,  65) in Environment -   DerivENV | High-Level-State 0
| Agent   48 | Location (x,y) = ( 210,  49) in Environment -   DerivENV | High-Level-State 0
| Agent   47 | Location (x,y) = ( 332,  61) in Environment -   DerivENV | High-Level-State 0
| Agent   46 | Location (x,y) = ( 325,   7) in Environment -   DerivENV | High-Level-State 0
| Agent   45 | Location (x,y) = ( 231,  30) in Environment -   DerivENV | High-Level-State 0
| Agent   44 | Location (x,y) = (  73,  96) in Environment -   DerivENV | High-Level-State 0
| Agent   43 | Location (x,y) = (   4,  37) in Environment -   DerivENV | High-Level-State 0
| Agent   42 | Location (x,y) = ( 225,  37) in Environment -   DerivENV | High-Level-State 0
| Agent   41 | Location (x,y) = ( 137,  58) in Environment -   DerivENV | High-Level-State 0
| Agent   40 | Location (x,y) = (   9,  17) in Environment -   DerivENV | High-Level-State 0
| Agent   39 | Location (x,y) = ( 373,  66) in Environment -   DerivENV | High-Level-State 0
| Agent   38 | Location (x,y) = ( 285,  94) in Environment -   DerivENV | High-Level-State 0
| Agent   37 | Location (x,y) = ( 373,  67) in Environment -   DerivENV | High-Level-State 0
| Agent   36 | Location (x,y) = ( 220,  74) in Environment -   DerivENV | High-Level-State 0
| Agent   35 | Location (x,y) = (  73,  14) in Environment -   DerivENV | High-Level-State 0
| Agent   34 | Location (x,y) = ( 248,  21) in Environment -   DerivENV | High-Level-State 0
| Agent   33 | Location (x,y) = ( 390,  14) in Environment -   DerivENV | High-Level-State 0
| Agent   32 | Location (x,y) = ( 106,  24) in Environment -   DerivENV | High-Level-State 0
| Agent   31 | Location (x,y) = ( 331,  97) in Environment -   DerivENV | High-Level-State 0
| Agent   30 | Location (x,y) = ( 165,  97) in Environment -   DerivENV | High-Level-State 0
| Agent   29 | Location (x,y) = ( 130,  19) in Environment -   DerivENV | High-Level-State 0
| Agent   28 | Location (x,y) = ( 102,  30) in Environment -   DerivENV | High-Level-State 0
| Agent   27 | Location (x,y) = ( 172,  27) in Environment -   DerivENV | High-Level-State 0
| Agent   26 | Location (x,y) = ( 223,  68) in Environment -   DerivENV | High-Level-State 0
| Agent   25 | Location (x,y) = (  98,  73) in Environment -   DerivENV | High-Level-State 0
| Agent   24 | Location (x,y) = (  26,  12) in Environment -   DerivENV | High-Level-State 0
| Agent   23 | Location (x,y) = ( 283,  72) in Environment -   DerivENV | High-Level-State 0
| Agent   22 | Location (x,y) = ( 225,  80) in Environment -   DerivENV | High-Level-State 0
| Agent   21 | Location (x,y) = (  95,  17) in Environment -   DerivENV | High-Level-State 0
| Agent   20 | Location (x,y) = ( 340,  83) in Environment -   DerivENV | High-Level-State 0
| Agent   19 | Location (x,y) = (  64,  88) in Environment -   DerivENV | High-Level-State 0
| Agent   18 | Location (x,y) = ( 294,  25) in Environment -   DerivENV | High-Level-State 0
| Agent   17 | Location (x,y) = ( 188,  17) in Environment -   DerivENV | High-Level-State 0
| Agent   16 | Location (x,y) = ( 371,  94) in Environment -   DerivENV | High-Level-State 0
| Agent   15 | Location (x,y) = (  75,  66) in Environment -   DerivENV | High-Level-State 0
| Agent   14 | Location (x,y) = (  77,  34) in Environment -   DerivENV | High-Level-State 0
| Agent   13 | Location (x,y) = (  43,  99) in Environment -   DerivENV | High-Level-State 0
| Agent   12 | Location (x,y) = ( 251,  14) in Environment -   DerivENV | High-Level-State 0
| Agent   11 | Location (x,y) = ( 302,  11) in Environment -   DerivENV | High-Level-State 0
| Agent   10 | Location (x,y) = ( 322,  39) in Environment -   DerivENV | High-Level-State 0
| Agent    9 | Location (x,y) = (  58,  14) in Environment -   DerivENV | High-Level-State 0
| Agent    8 | Location (x,y) = ( 240,  54) in Environment -   DerivENV | High-Level-State 0
| Agent    7 | Location (x,y) = ( 230,   8) in Environment -   DerivENV | High-Level-State 0
| Agent    6 | Location (x,y) = ( 200,  65) in Environment -   DerivENV | High-Level-State 0
| Agent    5 | Location (x,y) = (  95,   0) in Environment -   DerivENV | High-Level-State 0
| Agent    4 | Location (x,y) = ( 307,  39) in Environment -   DerivENV | High-Level-State 0
| Agent    3 | Location (x,y) = ( 239,  98) in Environment -   DerivENV | High-Level-State 0
| Agent    2 | Location (x,y) = (  43,  94) in Environment -   DerivENV | High-Level-State 0
| Agent    1 | Location (x,y) = (  36,  10) in Environment -   DerivENV | High-Level-State 0
| Agent    0 | Location (x,y) = (  55,  61) in Environment -   DerivENV | High-Level-State 0
	Tally: { S = 100 , I = 50 , R = 0 | Time 1

| Agent  149 | Location (x,y) = ( 248,  99) in Environment -   DerivENV | High-Level-State 1
| Agent  148 | Location (x,y) = ( 193,  45) in Environment -   DerivENV | High-Level-State 1
| Agent  147 | Location (x,y) = (   0,  86) in Environment -   DerivENV | High-Level-State 1
| Agent  146 | Location (x,y) = ( 241,   5) in Environment -   DerivENV | High-Level-State 1
| Agent  145 | Location (x,y) = ( 251,  68) in Environment -   DerivENV | High-Level-State 1
| Agent  144 | Location (x,y) = ( 239,  10) in Environment -   DerivENV | High-Level-State 1
| Agent  143 | Location (x,y) = ( 265,  23) in Environment -   DerivENV | High-Level-State 1
| Agent  142 | Location (x,y) = (  61,  52) in Environment -   DerivENV | High-Level-State 1
| Agent  141 | Location (x,y) = ( 387,  69) in Environment -   DerivENV | High-Level-State 1
| Agent  140 | Location (x,y) = (  76,  17) in Environment -   DerivENV | High-Level-State 1
